stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
STOP_14166,,Guerrero,"Metro. Línea B, correspondencia con línea 3.",19.44522682,-99.1463542,,,0,Guerrero,0,
STOP_14167,,Hidalgo,"Metro. Línea 2, correspondencia con línea 3.",19.4376997,-99.14730906,,,0,Hidalgo,0,
STOP_14168,,Hidalgo,"Metro. Línea 3, correspondencia con línea 2.",19.43674867,-99.14681554,,,0,Hidalgo,0,
STOP_14169,,Garibaldi,"Metro. Línea 8, correspondencia con línea B.",19.443082,-99.139034,,,0,Garibaldi,0,
STOP_14170,,Buenavista,Metro. Línea B,19.44615757,-99.15289879,,,0,,0,
STOP_14171,,Lagunilla,Metro. Línea B,19.44300109,-99.13107634,,,0,,0,
STOP_14172,,Balbuena,Metro. Línea 1,19.42288725,-99.10281658,,,0,,0,
STOP_14173,,Moctezuma,Metro. Línea 1,19.426271,-99.109803,,,0,,0,
STOP_14174,,Fray Servando,Metro. Línea 4,19.42149092,-99.12033677,,,0,,0,
STOP_14175,,Jamaica,"Metro. Línea 4, correspondencia con línea 9.",19.41014786,-99.12203193,,,0,,0,
STOP_14176,,Velódromo,Metro. Línea 9,19.40811392,-99.10283804,,,0,,0,
STOP_14177,,Mixhuca,Metro. Línea 9,19.40820499,-99.11285877,,,0,,0,
STOP_14178,,Santa Anita,"Metro. Línea 4, correspondencia con líneas 8.",19.40425847,-99.12120581,,,0,,0,
STOP_14179,,San Lázaro,"Metro. Línea 1, correspondencia con línea B.",19.43079953,-99.11457539,,,0,,0,
STOP_14181,,Canal del Norte,Metro. Línea 4,19.44866652,-99.11589503,,,0,,0,
STOP_14182,,Morelos,"Metro. Línea 4, correspondencia con línea B.",19.43973327,-99.11790133,,,0,,0,
STOP_14184,,Eduardo Molina,Metro. Línea 5,19.45112485,-99.10544515,,,0,,0,
STOP_14185,,Consulado,"Metro. Línea 4, correspondencia con línea 5.",19.45682033,-99.11388874,,,0,,0,
STOP_14186,,Indios Verdes,Metro. Línea 3,19.495315,-99.119141,,,0,,0,
STOP_14187,,Deportivo 18 de Marzo,"Metro. Línea 3, correspondencia con línea 6.",19.4840507,-99.12543297,,,0,,0,
STOP_14188,,Politécnico,Metro. Línea 5,19.499964,-99.148806,,,0,,0,
STOP_14190,,Deportivo 18 de Marzo,"Metro. Línea 6, correspondencia con línea 3.",19.48358544,-99.12576556,,,0,,0,
STOP_14191,,La Villa - Basílica,Metro. Línea 6,19.4814715,-99.11815882,,,0,,0,
STOP_14192,,Potrero,Metro. Línea 3,19.476413,-99.131748,,,0,,0,
STOP_14193,,Autobuses del Norte,Metro. Línea 5,19.478595,-99.140471,,,0,,0,
STOP_14194,,Instituto del Petróleo,"Metro. Línea 6, correspondencia con línea 5.",19.48983606,-99.14455175,,,0,,0,
STOP_14195,,Lindavista,Metro. Línea 6,19.4875806,-99.13434863,,,0,,0,
STOP_14196,,Martín Carrera,"Metro. Línea 4, correspondencia con línea 6.",19.4837675,-99.10599232,,,0,,0,
STOP_14197,,Martín Carrera,"Metro. Línea 6, correspondencia con línea 4.",19.48231101,-99.10554171,,,0,,0,
STOP_14198,,Guelatao,Metro. Línea A,19.38459525,-99.03579354,,,0,,0,
STOP_14199,,Peñón Viejo,Metro. Línea A,19.37291562,-99.0172863,,,0,,0,
STOP_14200,,Tepalcates,Metro. Línea A,19.39072824,-99.04651165,,,0,,0,
STOP_14201,,UAM-I,Metro. Línea 8,19.350327,-99.074808,,,0,,0,
STOP_14202,,Constitución de 1917,Metro. Línea 8,19.345135,-99.063367,,,0,,0,
STOP_14203,,Cerro de la Estrella,Metro. Línea 8,19.355601,-99.085872,,,0,,0,
STOP_14204,,Acatitla,Metro. Línea A,19.3642515,-99.00597811,,,0,,0,
